Breed,Country of Origin,Latitude,Longitude,Fur Color,Height (in),Color of Eyes,Longevity (yrs),Character Traits,Common Health Problems,
Labrador Retriever,Canada,56.130366,-106.346771,"Yellow, Black, Chocolate",21-24,Brown,10-12,"Loyal, friendly, intelligent, energetic, good-natured","Hip dysplasia, obesity, ear infections",
German Shepherd,Germany,51.165691,10.451526,"Black, Tan",22-26,Brown,7-10,"Loyal, intelligent, protective, confident, trainable","Hip dysplasia, elbow dysplasia, pancreatitis",
Golden Retriever,Scotland,56.4396,4.0532,Golden,21-24,Brown,10-12,"Intelligent, friendly, kind, loyal, good-natured","Hip dysplasia, cancer, skin allergies",
Chihuahua,Mexico,23.634501,-102.552784,"Black, Brown, Tan, White",6-9,"Brown, Blue",12-20,"Loyal, energetic, confident, sensitive","Dental problems, eye issues, respiratory issues",
Boston Terrier,United States,37.09024,-95.712891,"Black, White",15-17,Brown,11-13,"Intelligent, energetic, affectionate, good-natured","Eye problems, respiratory issues, skin allergies",
Poodle,France,46.227638,2.213749,"White, Black, Brown, Apricot",10-15,"Brown, Blue",12-15,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones",
Welsh Corgi,Wales,-4.7044,133.775136,Brown,12-15,Brown,12-15,"Intelligent, active, affectionate, hypoallergenic","Eye problems, respiratory issues, obesity",
Dachshund,Germany,51.165691,10.451526,"Black, Tan",5-9,"Brown, Blue",12-15,"Loyal, energetic, playful, curious","Intervertebral disc disease, hip dysplasia, diabetes",
Coton de Tulear,Madagascar,-18.766947,46.869107,White,9-11,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia",
Pug,China,35.86166,104.195397,"Fawn, Black",10-14,Brown,12-15,"Loyal, playful, affectionate, social, charming","Eye problems, respiratory issues, obesity",
Siberian Husky,Russia,61.52401,105.318756,"Black, White",21-24,Blue,12-15,"Independent, energetic, intelligent, playful, strong","Hip dysplasia, eye problems, hereditary myopathy",
Australian Shepherd,Australia,-25.274398,133.775136,"Black, Red",18-23,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia",
